epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
112,21228,1.34191,0.59981,0.00354,0.80117,0.86176,0.87378,0.51753,1.23409,0.68901,0.00478,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
113,21417.3,1.33584,0.59066,0.00343,0.78164,0.88406,0.87345,0.51786,1.23149,0.69155,0.00475,0.007824,0.002608,0.007824,0.002608,0.007824,0.002608,0.007824,0.002608
114,21605.9,1.33021,0.59077,0.00344,0.78175,0.88606,0.87465,0.51834,1.23054,0.69103,0.00473,0.007626,0.002542,0.007626,0.002542,0.007626,0.002542,0.007626,0.002542
115,21794.8,1.31832,0.58861,0.00345,0.79382,0.86715,0.87285,0.51873,1.22965,0.6935,0.00474,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
116,21983.7,1.33025,0.58776,0.00343,0.80072,0.86419,0.87312,0.51917,1.23038,0.6919,0.00477,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
117,22173.6,1.3271,0.58462,0.00345,0.80239,0.86371,0.8731,0.51914,1.23106,0.69102,0.00475,0.007032,0.002344,0.007032,0.002344,0.007032,0.002344,0.007032,0.002344
118,22362.9,1.31663,0.58519,0.00348,0.79896,0.86468,0.87393,0.51892,1.2309,0.69287,0.00475,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
119,22551,1.31794,0.58233,0.00335,0.79739,0.86701,0.87343,0.51942,1.23128,0.69326,0.00477,0.006636,0.002212,0.006636,0.002212,0.006636,0.002212,0.006636,0.002212
120,22739,1.30348,0.57779,0.00343,0.79916,0.86537,0.87313,0.51896,1.23256,0.69437,0.00479,0.006438,0.002146,0.006438,0.002146,0.006438,0.002146,0.006438,0.002146
121,22926.7,1.30095,0.57699,0.00337,0.79275,0.87222,0.87342,0.5191,1.23388,0.69474,0.00477,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
122,23115.6,1.31412,0.57862,0.00338,0.82544,0.83637,0.87277,0.51862,1.23363,0.69653,0.00477,0.006042,0.002014,0.006042,0.002014,0.006042,0.002014,0.006042,0.002014
